               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11534,            0.031571,            0.071837,           0.0040083,             0.42188,            0.011812,           0.0032985,            0.095386,            0.019352,             0.06507,              0.0757,              0.0027,              0.0027
                   1,            0.075442,            0.030981,            0.055921,            0.028512,             0.47812,             0.13119,            0.040392,            0.060587,            0.016787,            0.052598,            0.050446,           0.0054456,           0.0054456
                   2,            0.066316,            0.029874,            0.046057,                   1,            0.090219,             0.23944,            0.071494,            0.049296,            0.012449,            0.039654,            0.025136,           0.0081357,           0.0081357
                   3,            0.065087,            0.023886,            0.039286,             0.64013,              0.2873,             0.28445,            0.090739,            0.054815,           0.0095895,            0.047878,            0.009703,            0.009703,            0.009703
                   4,            0.059175,            0.024009,            0.036339,             0.47473,             0.56278,             0.37493,             0.19005,            0.048877,            0.011112,            0.027835,            0.009703,            0.009703,            0.009703
                   5,            0.057805,            0.023414,            0.031383,             0.37685,             0.56563,             0.29959,             0.12732,             0.05685,            0.011651,            0.031293,            0.009604,            0.009604,            0.009604
                   6,            0.053465,            0.023502,            0.029396,             0.46065,             0.47824,             0.43755,             0.24026,            0.035977,            0.014779,            0.026299,            0.009505,            0.009505,            0.009505
                   7,            0.051361,            0.022795,             0.02646,             0.59437,             0.56018,             0.54577,              0.3236,            0.035893,           0.0085443,            0.020024,            0.009406,            0.009406,            0.009406
                   8,            0.047991,            0.020563,            0.022768,             0.52235,             0.60906,             0.52944,             0.27044,            0.040731,           0.0088739,            0.018014,            0.009307,            0.009307,            0.009307
                   9,            0.048686,            0.020867,            0.020495,             0.63423,             0.61875,             0.56792,             0.30593,            0.039027,           0.0088256,            0.016272,            0.009208,            0.009208,            0.009208
                  10,            0.047079,            0.021063,            0.020531,             0.65656,             0.62561,             0.72954,             0.43451,            0.032056,           0.0093501,             0.01594,            0.009109,            0.009109,            0.009109
                  11,            0.043577,            0.020997,            0.019965,             0.67012,              0.6599,             0.66086,             0.33268,             0.03729,           0.0096159,            0.015401,             0.00901,             0.00901,             0.00901
                  12,            0.045103,            0.020996,            0.020817,             0.48896,              0.6125,             0.61882,             0.32817,            0.034136,           0.0092326,             0.01557,            0.008911,            0.008911,            0.008911
